case:concept:name,concept:name,time:timestamp
1-364285768,Accepted,2010-03-31 14:59:42+00:00
1-364285768,Accepted,2010-03-31 15:00:56+00:00
1-364285768,Queued,2010-03-31 15:45:48+00:00
1-364285768,Accepted,2010-04-06 14:44:07+00:00
1-364285768,Queued,2010-04-06 14:44:38+00:00
1-364285768,Accepted,2010-04-06 14:44:47+00:00
1-364285768,Completed,2010-04-06 14:44:51+00:00
1-364285768,Queued,2010-04-06 14:45:07+00:00
1-364285768,Accepted,2010-04-08 10:52:23+00:00
1-364285768,Queued,2010-04-08 10:53:35+00:00
1-364285768,Accepted,2010-04-20 09:07:11+00:00
1-364285768,Accepted,2010-04-20 09:07:19+00:00
1-364285768,Accepted,2012-04-11 15:11:17+00:00
1-364285768,Accepted,2012-04-11 15:11:25+00:00
1-364285768,Accepted,2012-05-03 09:10:10+00:00
1-364285768,Completed,2012-05-03 09:10:12+00:00
1-364285768,Completed,2012-05-10 23:26:15+00:00
1-467153946,Accepted,2011-01-31 10:12:22+00:00
1-467153946,Accepted,2011-01-31 10:18:44+00:00
1-467153946,Queued,2011-01-31 10:19:05+00:00
1-467153946,Accepted,2011-01-31 11:59:46+00:00
1-467153946,Accepted,2011-01-31 13:37:55+00:00
1-467153946,Queued,2011-02-03 07:28:58+00:00
1-467153946,Accepted,2011-02-07 11:37:33+00:00
1-467153946,Accepted,2011-02-07 11:38:25+00:00
1-467153946,Accepted,2011-03-09 10:08:06+00:00
1-467153946,Accepted,2011-03-09 10:27:05+00:00
1-467153946,Accepted,2011-03-10 10:53:10+00:00
1-467153946,Accepted,2011-03-10 10:53:22+00:00
1-467153946,Accepted,2011-03-10 11:17:22+00:00
1-467153946,Accepted,2011-03-10 11:21:51+00:00
1-467153946,Accepted,2011-03-10 13:45:27+00:00
1-467153946,Accepted,2011-03-14 06:56:20+00:00
1-467153946,Accepted,2011-03-14 06:58:01+00:00
1-467153946,Accepted,2011-03-14 06:58:55+00:00
1-467153946,Accepted,2011-04-05 15:59:52+00:00
1-467153946,Queued,2011-04-05 16:02:01+00:00
